fold,auc_true,auc_false,auc_unverified,auc_non-rumor,macro_auc
0,0.8921695668271011,0.8569427148194271,0.8059669258299396,0.8131284565108094,0.8420519159968193
1,0.7392940886091571,0.7354607721046077,0.7426570406022461,0.8242521367521368,0.7604160095170369
2,0.8696778970751574,0.7828455790784558,0.8045785511538935,0.814165409753645,0.8178168592652879
3,0.8748450285147533,0.7447613686119973,0.744575998016365,0.7814033522401377,0.7863964368458133
4,0.8075311190342154,0.8222618377431663,0.7824820233077113,0.8375,0.8124437450212733
all,0.8365685210782638,0.7880105796342042,0.7737568309388986,0.8078499051309999,0.8015464591955916
